"player_api_id","player_name","overall_rating","gk_rating","appearances","league_appearances"
265727,"Alexandre Coeff",71,109,32,3
93996,"Alexandre Cuvillier",71,132,47,1
39749,"Alexandre D'Acol",64,47,3,1
21657,"Alexandre Di Gregorio",59,116,8,1
33840,"Alexandre Geijo",74,135,23,2
3140,"Alexandre Hauw",69,136,42,1
169193,"Alexandre Lacazette",84,121,143,1
210387,"Alexandre Letellier",69,338,17,1
26213,"Alexandre Licata",76,136,11,1
560900,"Alexandre Mendy",66,67,3,1
114021,"Alexandre Pasche",62,110,49,1
46554,"Alexandre Pato",85,128,77,2
34055,"Alexandre Quennoz",63,128,6,1
46342,"Alexandre Raineau",69,115,44,1
571296,"Alexandre Silva",69,65,6,1
42321,"Alexandros Tziolis",72,151,38,3
42306,"Alexandros Tzorvas",76,376,12,1
298923,"Alexandru Maxim",77,50,50,1
41941,"Alexei Jr Eremenko",73,156,57,1
277443,"Alexi Peuget",66,50,13,1
687572,"Alexis Alegue Elandi",58,63,1,1
605848,"Alexis Blin",68,45,18,1
571681,"Alexis De Sart",57,63,1,1
50657,"Alexis Norambuena Ruz",64,131,131,1
281019,"Alexis Rolin",74,48,29,1
50047,"Alexis Sanchez",86,149,197,3
26275,"Alexis Thebaux",77,387,111,1
37479,"Alexis",80,138,173,1
303089,"Alexy Bosetti",71,49,25,1
641042,"Alfonso Artabe",60,41,7,1
27667,"Alfonso De Lucia",70,347,22,1
629594,"Alfonso Pedraza",69,51,2,1
280510,"Alfonso Taira",66,54,36,1
317156,"Alfred Duncan",73,39,59,1
129918,"Alfred Finnbogason",76,63,89,4
111801,"Alfred N'Diaye",77,127,111,3
239946,"Alfredo Morales",71,63,20,1
213649,"Alfredo Ortuno",66,111,2,1
46412,"Alharbi El Jadeyaoui",69,76,13,1
242889,"Alhassan Wakaso",71,59,66,1
256727,"Alhassane Bangoura",77,39,76,2
286117,"Alhassane Keita",65,50,17,1
41718,"Alhassane Keita",76,133,15,2
476771,"Ali Adnan",72,59,21,1
190741,"Ali Ahamada",75,377,131,1
25156,"Ali Al-Habsi",79,387,101,1
25535,"Ali Boussaboun",66,57,25,1
420224,"Ali Ghazal",77,55,90,1
211139,"Ali M'Madi",67,51,7,1
209371,"Ali Messaoud",67,54,30,2
512728,"Ali Yasar",57,41,1,1
261332,"Alim Oezturk",65,47,24,1
166577,"Aliou Dia",63,63,18,1
610533,"Alioun Fall",65,58,3,1
167285,"Alireza Haghighi",68,325,25,1
466890,"Alireza Jahanbakhsh",71,47,32,1
190493,"Alistair Crawford",65,63,78,1
169752,"Aljaz Struna",67,41,22,1
26503,"Alje Schut",70,114,61,1
32496,"Allan McGregor",80,397,187,2
213809,"Allan Nyom",77,52,163,2
24364,"Allan Russell",63,135,14,1
466482,"Allan Saint-Maximin",66,45,4,2
188652,"Allan",81,44,128,1
676625,"Allan",63,44,3,1
563216,"Almamy Toure",69,52,13,1
95681,"Almeida Anderson do Oliveira",68,50,40,1
128851,"Almeida Borges Leandro",59,36,1,1
25816,"Almen Abdi",74,146,68,4
174093,"Almog Cohen",70,45,42,1
634113,"Alois Confais",56,53,13,1
39978,"Alou Diarra",81,145,135,2
17276,"Aloys Nong",70,111,69,1
254455,"Alpaslan Ozturk",72,49,35,1
210164,"Alphonse Areola",80,394,68,2
94021,"Alphousseyni Keita",66,124,38,2
27351,"Altin Lala",75,152,11,1
264743,"Alvarinho",66,51,21,1
299653,"Alvaro Ampuero",66,47,4,1
46211,"Alvaro Anton",73,152,4,1
37442,"Alvaro Arbeloa",82,148,158,2
201916,"Alvaro Arroyo",68,50,29,1
183350,"Alvaro Cejudo",74,143,114,1
114044,"Alvaro Dominguez",78,132,146,2
50104,"Alvaro Dominguez",71,137,49,1
141662,"Alvaro Fernandez",71,136,6,1
474658,"Alvaro Garcia",64,48,1,1
183327,"Alvaro Gimenez",68,100,12,1
257855,"Alvaro Gonzalez Soberon",76,53,140,1
57067,"Alvaro Gonzalez",78,146,77,1
523390,"Alvaro Medran",72,62,16,1
41465,"Alvaro Mejia",76,145,12,1
213501,"Alvaro Morata",81,48,35,2
75310,"Alvaro Negredo",84,147,197,2
100033,"Alvaro Pereira",80,143,102,3
33586,"Alvaro Rubio",76,169,112,1
41564,"Alvaro Saborio",74,133,2,1
34983,"Alvaro Santos",66,63,6,1
282467,"Alvaro Vadillo",71,43,19,1
213489,"Alvaro Vazquez",75,53,91,2
38162,"Alves Justino Jorge Luiz,28",70,54,28,1
93484,"Aly Cissokho",79,130,182,4
681965,"Aly Ndom",63,42,4,1
185388,"Amad Al Hosni",73,52,3,1
46660,"Amadou Alassane",66,117,28,1
668307,"Amadou Diawara",72,52,31,1
111917,"Amadou Sidibe",63,140,17,1
318656,"Amadou Soukouna",61,37,3,1
170316,"Amara Baby",67,116,14,1
38827,"Amauri",85,151,127,1
27226,"Amaury Bischoff",66,134,6,1
35636,"Amdy Faye",77,144,18,1
277767,"Amidio Balde",69,58,43,3
244840,"Amidu Salifu",72,44,9,1
668820,"Amilton",72,51,30,1
384142,"Amin Affane",65,58,8,1
309505,"Amin Younes",76,65,31,2
156105,"Amine Linganzi",70,117,1,1
108525,"Amine Mohamed Chermiti",70,47,81,2
127224,"Amir Abrashi",71,70,112,1
15608,"Amir Spahic",60,115,62,1
108524,"Ammar Jemal",75,63,35,2
21161,"Amoreirinha",69,138,32,1
303359,"Amos Youga",69,43,14,1
127857,"Amr Zaki",71,52,24,1
213814,"Anaitz Arbilla",73,59,66,1
521272,"Anas Tahiri",57,56,4,1
287333,"Anass Achahbar",70,57,7,1
614454,"Anastasios Donis",63,60,15,1
118359,"Anatole Ngamukol",68,50,58,1
30868,"Anatoli Tymoschuk",84,154,56,1
267915,"Ancelmo Junior",66,53,1,1
46085,"Anco Jansen",65,53,6,1
449492,"Ander Capa",73,54,61,1
164676,"Ander Herrera",81,149,174,2
150323,"Ander Iturraspe",81,119,133,1
33021,"Ander Murillo",75,126,1,1
127209,"Anders Christiansen",72,45,2,1
70074,"Anders Konradsen",74,82,32,1
26818,"Anders Lindegaard",78,386,19,1
265799,"Anderson Carvalho",66,40,33,1
268039,"Anderson Conceicao",72,58,14,1
570360,"Anderson Correia",71,65,18,1
470305,"Anderson Esiti",72,56,27,1
127888,"Anderson Luis",71,50,81,1
268586,"Anderson Melo",58,50,1,1
450011,"Anderson Talisca",77,59,26,1
145561,"Anderson",76,120,73,1
40961,"Anderson",82,159,58,2
71055,"Andi Lila",62,62,9,1
201811,"Andile Jali",74,131,49,1
131391,"Andis Shala",59,117,6,1
16362,"Andjelko Djuricic",68,344,27,1
33025,"Andoni Iraola",80,146,217,1
167491,"Andras Gosztonyi",64,51,3,1
72633,"Andraz Kirm",72,133,109,2
164130,"Andre Albino Carvalho da Cunha",69,57,50,1
150268,"Andre Almeida",76,99,73,1
